2026-02-06 12:24:19 INFO  searchSeleniumTest - Setting up the browser
2026-02-06 12:24:19 INFO  searchSeleniumTest - Setting up the browser
2026-02-06 12:24:25 INFO  searchSeleniumTest - TEST: Search Selenium Java
2026-02-06 12:26:16 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 12:26:17 INFO  FillFormTest       - Closing the browser
2026-02-06 12:26:20 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 12:26:20 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 12:26:21 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 12:26:21 INFO  FormPage           - PAGE: Click submit button
2026-02-06 12:26:21 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 12:26:21 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 12:26:21 INFO  FormPage           - PAGE: Return the alert
2026-02-06 12:26:21 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 12:26:21 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 12:26:22 INFO  FillFormTest       - Closing the browser
2026-02-06 12:26:28 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 12:26:28 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 12:26:29 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 12:26:29 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 12:26:35 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 12:26:35 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 12:26:40 INFO  FillFormTest       - TEST: fill the form
2026-02-06 12:26:40 INFO  FormPage           - PAGE: Filling the form
2026-02-06 12:26:42 INFO  FillFormTest       - TEST: fill the form
2026-02-06 12:26:42 INFO  FormPage           - PAGE: Filling the form
2026-02-06 12:26:43 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 12:26:43 INFO  FormPage           - PAGE: Click submit button
2026-02-06 12:26:44 INFO  FormPage           - PAGE: Return the alert
2026-02-06 12:26:44 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 12:26:44 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 12:26:44 INFO  FillFormTest       - Closing the browser
2026-02-06 12:26:46 INFO  FillFormTest       - TEST: fill the form
2026-02-06 12:26:46 INFO  FormPage           - PAGE: Filling the form
2026-02-06 12:26:47 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 12:26:47 INFO  FormPage           - PAGE: Click submit button
2026-02-06 12:26:47 INFO  FormPage           - PAGE: Return the alert
2026-02-06 12:26:47 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 12:26:47 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 12:26:47 INFO  FillFormTest       - Closing the browser
2026-02-06 12:26:48 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 12:26:48 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 12:26:50 INFO  FillFormTest       - TEST: fill the form
2026-02-06 12:26:50 INFO  FormPage           - PAGE: Filling the form
2026-02-06 12:26:50 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 12:26:50 INFO  FormPage           - PAGE: Click submit button
2026-02-06 12:26:51 INFO  FormPage           - PAGE: Return the alert
2026-02-06 12:26:55 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 12:26:55 INFO  FormPage           - PAGE: Click submit button
2026-02-06 12:26:56 INFO  FormPage           - PAGE: Return the alert
2026-02-06 12:26:56 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 12:26:56 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 12:26:56 INFO  FillFormTest       - Closing the browser
2026-02-06 12:27:00 INFO  FillFormTest       - TEST: fill the form
2026-02-06 12:27:00 INFO  FormPage           - PAGE: Filling the form
2026-02-06 12:27:01 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 12:27:01 INFO  FillFormTest       - TEST: If the test is positive, if the alert is not present, resultMessage will be 'PASS'
2026-02-06 12:27:01 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 12:27:01 INFO  FillFormTest       - Closing the browser
2026-02-06 12:27:02 INFO  FillFormTest       - TEST: fill the form
2026-02-06 12:27:02 INFO  FormPage           - PAGE: Filling the form
2026-02-06 12:27:04 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 12:27:04 INFO  FormPage           - PAGE: Click submit button
2026-02-06 12:27:04 INFO  FormPage           - PAGE: Return the alert
2026-02-06 12:27:04 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 12:27:04 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 12:27:05 INFO  FillFormTest       - Closing the browser
2026-02-06 12:27:05 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 12:27:05 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 12:27:06 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 12:27:06 INFO  FormPage           - PAGE: Click submit button
2026-02-06 12:27:07 INFO  FormPage           - PAGE: Return the alert
2026-02-06 12:27:08 INFO  FillFormTest       - TEST: fill the form
2026-02-06 12:27:08 INFO  FormPage           - PAGE: Filling the form
2026-02-06 12:27:10 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 12:27:10 INFO  FormPage           - PAGE: Click submit button
2026-02-06 12:27:11 INFO  FormPage           - PAGE: Return the alert
2026-02-06 12:27:17 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 12:27:17 INFO  FillFormTest       - TEST: If the test is positive, if the alert is not present, resultMessage will be 'PASS'
2026-02-06 12:27:17 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 12:27:17 INFO  FillFormTest       - Closing the browser
2026-02-06 12:27:21 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 12:27:21 INFO  FillFormTest       - TEST: If the test is positive, if the alert is not present, resultMessage will be 'PASS'
2026-02-06 12:27:21 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 12:27:21 INFO  FillFormTest       - Closing the browser
